term,pos,schema definition / notes,comment,translation_es,comment_es,translation_es_MX,comment_es_MX,translation_es_CL,comment_es_CL,translation_es_UY,comment_es_UY,translation_es_GT,comment_es_GT,translation_es_BO,comment_es_BO,translation_es_EC,comment_es_EC,translation_es_PY,comment_es_PY,translation_es_AR,comment_es_AR,path
abatement,Noun,,,reducción,,reducción,,reducción,,reducción,,reducción,,reducción,,reducción,,reducción,,disminución,,#N/A
accountability,Noun,,,,,Rendición de cuentas,,,,rendición de cuentas,,,,rendición de cuentas,,,,,,rendición de cuentas,,#N/A
amendment,Noun,"A tender amendment is a formal change to the tender, and generally involves the publication of a new tender notice/release.",,modificación,,Modificación,"Una modificación a la contratación es un cambio formal a la misma, y generalmente implica la publicación de un nuevo aviso. La justificación y una descripción de los cambios realizados se pueden proporcionar aquí.",modificaciones,,modificación,"Podría ser ""ajuste"" o ""modfiicación""",modificacion,,enmienda,enmienda para cambios en cualquier ámbito y adendum si son cambios al contrato,modificación,,modificación,modificación de contrato o adenda al contrato,modificación,,#N/A
Amount,Noun,,,Monto,,Monto,,Monto,,Monto,,Monto,,Monto,,Monto,,Monto,,Monto,,"planning/budget/amount/amount,
tender/minValue/amount,
tender/value/amount,
tender/items/unit/value/amount,
awards/value/amount,
awards/items/unit/value/amount,
contracts/value/amount,
contracts/items/unit/value/amount,
contracts/implementation/transactions/value/amount"
array,Noun,A list of values in a data structure.,,lista,,Arreglo,,lista,,lista,"No traduciría el término, es de uso bien específico en informática y se entiende mejor en inglés.",matriz,,lista,,lista,,lista,,lista,,#N/A
assessment,Noun,,,evaluación,,evaluación de proposiciones,,evaluación,?,evaluación,,EVALUACION DE OFERTAS,EVALUACIÓN,evaluación,"Se refiere a la evaluación de criterios de Calidad, Propuesta Técnica y Costo",evaluación,,evaluación,,evaluación,,#N/A
award,Noun,,i.e. Award stage of a contracting process,adjudicación,,Adjudicación,"Una adjudicación para una contratación determinada. Puede haber más de una adjudicación por licitación, por ejemplo, porque se pueden adjudicar a varios proveedores.",adjudicación,"El término es correcto sólo para licitaciones, en otros casos el concepto es selección del proveedor",adjudicación,,adjudicación,,adjudicación,"se adjudica un proceso de contratación, se toma la decisión de a quién contratar",adjudicación,,adjudicación,,adjudicación,,awards
award notice,Noun,,,,,Aviso de adjudicación,,notificación  de adjudicación,,publicación de la adjudicación,,notificacion de adjudicacion,,notificación de adjudicación,,Notificación de adjudicación,,notificación de adjudicación,,publicación de adjudicación,,#N/A
bid,Noun,,,oferta,,Proposición,,oferta,Podría ser también cotización en procesos menos formales a licitación,oferta,,oferta,,oferta,,oferta,,oferta,,oferta,,#N/A
bid,Verb,,,oferta,,Proposición,,oferta,Podría ser también cotización en procesos menos formales a licitación,oferta,,oferta,,oferta,,oferta,,oferta,,oferta,,#N/A
bidder,Noun,,,oferente,,Licitante,,oferente,,oferente,,OFERENTE,LICITANTE SE REFIERE UNICAMENTE A LOS OFERETNES EN LA MODALIDAD DE LICITACION,Ofertante/Proponente,Cuando se suscribe una contratación proveedor o contratista,Oferente / Proveedor,En Ecuador el termino licitador puede causar confusión ya que éste es un tipo de procedimiento precontractual de los 38 que existen,oferente,,oferente,,#N/A
bidding documents,Noun,Documents sent by the bidder to bid for a contract.,,,,Documentos de la proposición,,documentos de la oferta,,documentos de la oferta,,documentos contractuales,,documentos de la oferta,,Documentos precontractuales,,documentos de la oferta,,documentos de la oferta,,#N/A
budget,Noun,A sum of money dedicated to a specific purpose.,,,,Presupuesto,,presupuesto,en nuestro caso existe concepto de disponible y máximo,presupuesto,,monto a contratar,,presupuesto,,Presupuesto,,presupuesto,,presupuesto,,#N/A
budget data package,Noun,,,,,paquete de datos del presupuesto,,?,,paquete de datos de presupuesto,,paquete de datos del presupuesto,,paquete de datos del presupuesto,,Información presupuestaria,,,,datos presupuestarios,,#N/A
budget line item,Noun,,"""A unit of information in a document, record, or statement, shown on a separate line of its own. Line items often refers to a budget element that is separately identified""",partida presupuestaria,,Clave presupuestaria,,Partida,"Considerando que el presupuesto de la nación se construye en la lógica Subtítulo, Item, Asignación",partida presupuestaria,,partida presupuestaria,,Línea presupuestaria,,partida presupuestaria,,línea presupuestaria,,partida presupuestaria,suele llamarse linea o partida presupuestaria.,#N/A
building block,Noun,,e.g. building block of OCDS schema,,,Componente,,,?,,"No traduciría el término, es de uso bien específico en informática y se entiende mejor en inglés.",,,,,,,,,set de datos,Ver en que contexto se usa.,#N/A
bulk data,Noun,,,,,Concentrado de datos,,,,datos masivos,,,,,,,,,,,,#N/A
buyer,Noun,The buyer is the entity whose budget will be used to purchase the goods. This may be different from the procuring entity who may be specified in the tender data.,,comprador,,Comprador,El comprador es la institución pública que tiene asignado el presupuesto que se utilizará para el procedimiento de contratación. Éste puede ser diferente al área administrativa especificada en la etapa de licitación.,comprador,,organismo comprador,"El término ""entidad compradora"" se entendería igualmente",contratante,,entidad contratante,,Entidad contratante,,entidad compradora,,comprador / contratante,,#N/A
classification,Noun,"A system to categorize goods, organizations, services, etc.",,clasificación,,Clasificación,,Clasificación,,catálogo,,codigo de catalogo,,catalogación,,Catálogo,,catálogo,,calsificación,,"tender/items/classification,
awards/items/classification,
contracts/items/classification"
codelist,Noun,,codelist - a list of predefined values from which you can select a value (from a drop down) rather than typing it in,lista de codigo,,Lista de códigos,,lista de codigo,,lista de códigos,,RENGLON PRESUPUESTARIO,RENGLON PRESUPUESTARIO ,lista de código único de contrataciones estatales,,,,lista de codigo,,lista de datos / código,,#N/A
community extension,Noun,OCDS extension that is not developed and maintained by the OCP.,,,,Extensión comunitaria,,Extensión de la comunidad,,extensión de la comunidad,,,,,,,,,,extensión comunitaria,,#N/A
competitive dialogue,Noun,,,,,,,,no utilizamos esa modalidad,,?,,,,,,,,,dialogo competitivo,,#N/A
complaint,Noun,,Complaint regarding the result of the award session.,recurso,,Inconformidades,,recurso,en Chile se refiere a los reclamos,recurso,,INCONFORMIDAD,"LO HACEN LOS POSIBLES OFERENTES O LA SOCIEDAD EN GENERAL, DURANTE TODA LA FASE DESDE LA PUBLICACION HASTA POSTERIOR A L RESOLUCION DE APROBACION POR PARTE DE LA JUNTA, POSTERIOR A ESTO PUEDEN APLICAR A RECURSOS LEGALES.",recurso,,Denuncia / Reclamo ,,protesta,,impugnación / queja,,#N/A
conformance,Noun,,Conformance to the OCDS standard.,,,,,,,conformidad,,,,conformidad,,Aceptación,,,,aceptación / conformidad,,#N/A
contract,Noun,"A document that, once agreed and signed by all parties, legally binds them.",,contrato,,Contrato,,contrato,,contrato,,contrato,,contrato público,,Contrato,,contrato,,contrato,,contracts
